Texto,Emoción
Hmm.,neutral
I don't know. He had a really good resume I guess and--,neutral
Yeah. Do you have a resume?,neutral
It's kind of helpful when getting a job.,neutral
I just- I mean I call people up and I tell them what I'm good at.,neutral
Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neutral
Yeah.,neutral
"No. You can- or you can just bring it in person. But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neutral
"Yeah. But the piece of paper helps, too.",neutral
"No. But it has an outline, you know.",neutral
"I know. Okay. Well, um. Maybe--",neutral
Yeah.,neutral
"Okay, yeah. I would imagine.",neutral
"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neutral
maybe get a car.,neutral
"I just, you know, think you should try a little harder maybe.",neutral
I didn't say that.,neutral
"I am riding the bus, but by choice.",neutral
"To save the environment, carpool.",neutral
Yes. One less car at a time.,neutral
Mmhmm.,neutral
I'm not frustrated.,angry
Who do you think you are?,angry
I don't think I'm anyone.,neutral
You are so high and mighty. I just--,angry
I- I-I didn't-- okay.,neutral
Oh. I'm saving the environment. I'm riding this car because I- I want to.,angry
"The bus, I'm riding the bus because I want to.",angry
I can not-- you are not here by choice. Nobody would ride this bus by choice.,angry
Hi. Thanks for waiting.,neutral
Can I help you?,happy
Uh huh.,happy
Okay.,neutral
Okay.,neutral
Okay. Great. I'm really sorry that you had to do that. What's your last name? Let's start there.,neutral
Okay.,neutral
all right- okay. And you lost your bag? Is that- that the issue?,neutral
Flight seven fourteen.,angry
Uh-huh.,neutral
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",angry
"Yeah. Yeah, I don't see- I don't see any--",neutral
"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neutral
"we've mistakenly lost your baggage. We're very sorry. On behalf of Jet Blue I would like to apologize for any inconvenience. I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us. I'm very sorry, once again...",neutral
"for such an inconvenience and your bag, but",neutral
Is this a joke?,angry
Yeah.,neutral
"No, no.",neutral
"Are there candid cameras? Is this that movie? There's that show, right? Airplane, airline.",angry
"No, no. This is real.",neutral
"No. I'm just giving you money, the bag is gone. If it's not here, I'm really sorry there is nothing I can do because...",neutral
this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neutral
"You're kidding me, this is a joke.",angry
Do you have any idea-- fifty dollars? That's supposed to replace everything that I have? Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that. It was incredibly expensive.,angry
Yes.,neutral
I know.,neutral
We flew in from Paris. I've been shopping for three weeks.,angry
I don't care what you're freaking sign says. Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,angry
Okay. Calm-,neutral
"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neutral
Do you understand who my husband is?,angry
"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",angry
"We are actually not even allowed-- you know, like we don't have to give you this fifty dollars. We don't have to do that.",neutral
Oh-Oh. It's a gift. You're-You're helping me out here?,angry
It's a gift.,neutral
"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neutral
You are cruising for a bruising. You are in so much trouble.,angry
With the amount of--,neutral
Who's in charge? Who is the president of Jet Blue?,angry
"Um, actually, I don't know. I don't know. Oh really?",neutral
Because I probably know him.,angry
Yeah.,angry
Well then maybe you can just call him and he can give you more money. But right now all I can do--,neutral
"I don't want money, I want my clothes.",angry
"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neutral
What's your name?,angry
Oh. My name is Sean. Hi.,neutral
"Badge number? Uh, no. You can just take my employee number I guess.",surprise
Okay. I'll do that.,angry
Why? Have I done something wrong? Have I given you bad service? I feel like I have done the best I could.,surprise
I don't think you have done everything you could do because I don't have my bag here yet.,angry
"If you want, you can write a letter. I can give you the address. Yes. An angry--",neutral
A letter? I'll make a personal phone call.,angry
"Or you can make a phone call. But I think a letter might be a little more-- in my impression, letters have more...",neutral
"I'm sorry, Joy.",sad
Is there anything I can get you? Do you want me to take care of anything for you or...?,neutral
...pick up anything?,neutral
No.,sad
You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad
That's sweet.,neutral
Thank you.,neutral
I went to see her headstone a week or two ago.,sad
"I used to go to cemeteries a lot before she died. I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad
Hmm.,neutral
So I was like wandering around before. It takes forever to find her headstone; I always lose it. You know.,sad
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone. And-,sad
"this woman came up and, you know, it was hers. It was her person that was there.",neutral
Oh. She was there?,neutral
"Yeah. And she was like, that's pathetic, I hope you enjoy it.",sad
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine. She was like, I would rather have her back, honestly.",sad
Mmhmm.,neutral
"I don't know. It just, like, I felt so bad because I shouldn't have done it. I don't know. Whatever.",sad
Yeah.,sad
I don't know.,sad
How long were you there for?,neutral
At the cemetery?,sad
Mmhmm.,neutral
couple hours.,sad
"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day. We ran through the sprinklers.",neutral
Oh really?,neutral
You ran through the sprinklers in the cemetery?,neutral
Is it a big cemetery?,neutral
Yeah. It's huge. Redlands is an old city so they have lots and lots of stones.,neutral
"Oh, so they're like really old too, really old ones?",neutral
Yeah.,neutral
"It's weird. Whenever I go back to town, I think of her. I mean, it's like ... I mean we grew up together and she died when we were twenty one. And yeah. She had cancer, she had two brain tumors.",sad
"My best friend Heather. She's got a- we have a- we built this like little-- There's a park, Prospect Park. And there is like a garden section of it that we set up for her.",sad
She used to have these poetry parties on Memorial Day.,sad
Mmhmm.,neutral
Umm. Yeah.,sad
"And the last time before she died, I remember she couldn't really stand, umm...",sad
"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized. And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head. It was cool.",sad
Mmhmm.,neutral
"Some, I guess. She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sad
So she wrote a lot of poetry?,neutral
"There's another one, I can't remember.",neutral
"I remember, too, when we were-- she died at U.C.L.A. She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back. And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room. All she needs is a God damn audience. You know?",sad
Is this a Masters or a P.h.D.? Or can you...? Nice,neutral
"That's good. Don't you have to like teach a class, too, when you do that?",neutral
"Of course, right. That's where the real money is, being a student.",neutral
That's how you get the big bucks. Are you messing with the chair? Don't ruin it.,happy
He saw it.,neutral
How could he see it? I was the first one up; he was still in bed.,surprise
He was out here when it broke.,neutral
Four o clock this morning. I heard a crack and I woke up and looked out. He was standing right over there when it cracked.,neutral
I don't know.,neutral
"He's dreaming of him again, walking around.",neutral
I guess he is.,neutral
You know Larry is not coming back and I know it. Why do we allow him to go on thinking that we believe with him?,neutral
We've got to say it to him.,neutral
"Sit down, Mom. I want to talk to you.",neutral
You know.,neutral
"Well I got an idea, but what's your story?",neutral
I'm going to ask her to marry me.,neutral
You know it's not just my business.,neutral
"So all right then, I'll just go ahead with it?",neutral
"You know sometimes you infuriate me. you know that? Isn't it your business if I tell father and he throws a fit about it? God, you have such a talent for ignoring things.",angry
I wanted to get this settled first.,neutral
"Well if she does, then that's it. That's the end of it. From her letters, though, I think she's pretty much forgotten him.",neutral
And then we'll thrash it out with father. Okay Mom? Don't avoid me.,neutral
Just give it some more thought.,neutral
What the hell is this?,angry
"I'll get out. I'll get married and I'll move somewhere else, maybe New York.",neutral
You have a business here. What the hell is this?,angry
Oh. Must you be inspired?,angry
"On this, I would.",neutral
Then help me stay here.,neutral
"All right. But you don't want to think like that because what the hell are we working for, Chris? It's all for you. This whole shooting match is for you.",angry
Just don't think like that.,angry
Well maybe...maybe he just wanted to see her.,neutral
He's not going to marry her.,angry
How do you know he's even thinking about it?,neutral
It's got that about it.,angry
"What is going on here, Joe?",angry
She is not his girl. She knows she's not.,angry
"Then why is she still single? New York is full of men, why is she still single? Probably a hundred people told her she's foolish, but she waited.",angry
How do you know why she waited?,neutral
"Because she knows what I know, that's why. She's faithful as a rock. In my darkest moments, I think of her waiting and I know that I'm right.",angry
"Nobody in this house dares take away her faith, Joe. You know strangers might, but not his father, not his brother.",angry
"I want you to-- I want you to act like he is coming back, both of you. Don't think I haven't noticed you since Chris invited her here.",angry
I won't stand for any nonsense.,angry
"Because if he's not coming back, I'll kill myself. Oh laugh, laugh all you like but why does this happen the very night he comes back. She goes to sleep in his room and his memorial breaks in pieces. Look at it, Joe, look.",angry
"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry. Believe with me. You, above all, have got to believe. Just believe.",angry
"What have I got to hide? What the hell is the matter with you, Kate?",angry
You're the only one who still loves his parents.,neutral
"I know. It kind of went out of style, didn't it?",neutral
It's not so bad; it's a good thing.,neutral
"[BREATHING] You know, it's lovely here. The air is sweet.",neutral
You're not sorry you came.,neutral
"I'm not sorry, no. But I'm...I can't stay.",neutral
"For one thing, your mother much as told me to go.",neutral
Well.,neutral
"And then, you. You've been kind of...",neutral
What?,neutral
Sort of embarrassed ever since I got here.,neutral
Well I was kind of planning of sneaking up on you over the course of a week or so. They just take it for granted that we're all set.,neutral
I knew they would.,neutral
"Well sure, from your mother's point of view. Why else would I come?",neutral
"I, umm. I guess, I guess that's kind of why I came.",neutral
[BREATHING],happy
"I love you. Annie, I love you.",happy
[LAUGHTER],happy
"I don't really have any imagination, that's all I know how to say.",happy
[LAUGHTER],happy
"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch. I wanted it to be somewhere new, some place fresh for both of us.",happy
No. No,happy
"Chris, I've been ready a long, long, time.",neutral
I almost got married two years ago.,neutral
You started to write me.,neutral
You felt something that far back?,surprise
Every day since.,happy
Why didn't you let me know?,happy
Give me a...,happy
Give me a kiss.,happy
beating around the bush.,happy
"I will never forgive you. All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",happy
"Oh Annie, we are going to live now. I am going to make you so happy.",happy
Not like that you're not.,happy
I kissed you.,happy
"Like Larry's brother. Do it like you, Chris.",neutral
"Hey, let's drive some place. Huh? Let's get out of here.",sad
No it's nothing like that. It's-,sad
Yeah. I suppose I have been. But it's going from me.,sad
I don't even know how to start.,sad
"It's just all mixed up with so many other things, you know? You know overseas I was in command of a company?",sad
"Yeah, sure.",neutral
Well I lost them.,sad
How many?,neutral
Pretty much all.,sad
"Aw, geez.",sad
You can't just toss off a thing like that because they weren't just men. You know?,sad
"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks. He just put them in my pocket. That's a little thing, you know, but that's what kind of guys I had.",sad
"They didn't die, they killed themselves for each other. I mean that, exactly. Just a little more selfish and they would all be here today.",sad
Mmhmm.,neutral
"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",sad
"But then I came home and it was incredible, you know? The whole thing was just kind of this random bus accident. You know, I went back to the rat race again, I went to work.",sad
And I didn't want any of it. I guess that included you.,sad
I just want you to know Annie.,neutral
What would I do with a fortune?,happy
Fine.,neutral
What flashlight?,surprise
"The flashlight, the silver one. There's only one, isn't there?",neutral
That's not your flashlight.,neutral
Whose is it?,neutral
"Oh...well. Yeah, of course.",neutral
You keep saying my flashlight like it's just yours.,angry
No.,neutral
How's that supposed to make me feel?,angry
"Of course, our flashlight. What's yours is mine. Me flashlight es su flashlight.",neutral
Do they always run during a full moon? I don't remember. Was it full last year?,neutral
Yeah.,neutral
"Huh. Are you cold? Do you want my jacket? No? you know, we should have brought the blanket? Our blanket.",neutral
"Aw. Do you know, I should have brought a six pack, too. A six pack, that would be just the ticket right about now. Huh?",neutral
[LAUGHTER],happy
I'm cold.,sad
Right.,neutral
"Wait, that's my point, too.",neutral
Not particularly.,neutral
Why not?,neutral
"Honey, this is like a natural phenomenon. I mean... People in Kansas would have to get plane reservations and get hotel rooms to see this. It's just forty minutes away for us; it's too good to pass up.",neutral
Yeah. But this..this moment on the beach is like the highlight of their little lives. All that flopping around is laying eggs or what to do - spawning or mating or whatever.,neutral
This is a big night for these little guys. It's like life's last orgy.,neutral
"There's like mystery here, there's magic. It's like a little bit of the unexplainable. I just can't see how you're not interested.",neutral
For real?,surprise
"God, I don't get it. you know the first time we came here, you said it was the best night of your life?",neutral
"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",neutral
Ahh...we weren't in a good spot.,neutral
"We just weren't in a good spot. I'm telling you, this is a much better spot. I have instincts for these things.",neutral
"God, this is great. Think about this. I know you are not interested, but just think about this.",happy
That's the wind.,neutral
So what do you think?,happy
About what?,neutral
"About all of that, about all I was talking about.",happy
That's the wind.,neutral
About what?,neutral
About what I was saying.,neutral
"Carla, can I ask you something? Now, don't take this the wrong way, but are you on your period?",neutral
"Don't ask me that. I hate it when you ask me that, you always ask me that. It's insulting.",angry
"For God- Grow up, Augie. The fish are not going to arrive.",angry
Because they never do. Have they...Have they ever?,angry
Twice is every time we have tried; that's ever.,angry
"I feel like I'm always just standing here waiting. I feel like this night is going to be the night, but it never is.",sad
"For God's sake, this is not about fish.",angry
"Okay. So you were fine during that phone call from Marge and then dinner was okay. And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go? And I said, sure great, let's go.",neutral
"Okay. So I am putting out the pets, getting the car out of the garage.",neutral
Do you remember the first year we came here? It was like four years after we got married.,neutral
"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them. And I remember thinking, this is it. You know, finally, I am as happy as I'm supposed to be.",happy
"It's when we were driving past that Knickerbocker Liquor Locker, you said, let's get some champagne. I said no, time's a wasting or something like that.",neutral
I'd rather not remember some things. I'd rather not hope for some things.,sad
Sure. All right. Okay.,neutral
"Listen, do you want to dance?",neutral
No.,neutral
Do you want me to go get some champagne?,neutral
Do you want to take off your shoes?,happy
Do you want to get married again?,happy
No.,neutral
Yes it is.,neutral
"I know you are Augie, I know.",sad
"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else.",sad
"Maybe if you were with someone else, too.",sad
I didn't say that.,sad
I just- I know I don't make you happy.,sad
"Don't be ridiculous. Anything that- anything I am doing, I'd rather be doing it with you.",surprise
Yeah?,surprise
Yeah. Don't you know that?,surprise
"You're the one who probably wishes he was with somebody else. Somebody who doesn't take things so seriously, who could enjoy herself.",sad
"You know, actually now that you mention it, no I don't.",neutral
"So maybe we are in the wrong spot, but we are with the right person.",neutral
"We have a great view of the moon from here, though, huh?",neutral
"Hmm. I noticed that, it's pretty. Big old white moon.",happy
[BREATHING],neutral
And look what I got here.,happy
"Augie, you bought refreshments.",happy
I guess we don't need glasses.,happy
[BREATHING],happy
Do you want to go home? Are you cold?,neutral
I'm beginning to think this might be the right spot after all.,happy
"Augie, I'm sorry.",sad
"Shh. If we're very quiet, the fish might come.",neutral
Or not.,neutral
Or not.,happy
Good God.,fear
Is it them?,fear
I wonder.,fear
Freda is the only one who knows we are here. She wouldn't ring up.,fear
It must be them then.,fear
It had to happen sooner or later. What are we going to do?,fear
[BREATHING],fear
No. Wrong number. [LAUGHTER],happy
[LAUGHTER] That sent shivers up my spine.,happy
What shall we do if they suddenly walk in on us.[LAUGHTER],happy
With perfect poise.,happy
"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy. Do they?",happy
Yes. Meaning just that.,happy
"Well what does it all mean? That's what I ask myself in my quest for ultimate truth. Dear God, what does it all mean?",happy
Don't laugh at me. I'm being serious.,happy
Who knows?,happy
[LAUGHTER],happy
Oh Come and kiss me darling before your body rots and worms pop out of your eye sockets.,happy
"Oh Elliott, worms don't pop.",happy
"Oh See, I don't care what you do, see. You can paint yourself green and run naked through the Place Vendome and run off with all of the men of the world. I shan't say a word, just as long as you love me best.",happy
"Aw. Thank you, darling. The same applies to you too, except that if you so much as look at another woman I'll kill you.",happy
It was a terrible thing. I hated it.,disgust
"That was a rouser, wasn't it?",happy
"The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER] How utterly, utterly ridiculous.",happy
[LAUGHTER] I'll never forget his face. [LAUGHTER],happy
[LAUGHTER] We were very much younger then.,happy
[LAUGHTER] And very much sillier.,happy
And very much sillier.,happy
However I believe the real cause of that row was Peter Burden.,neutral
Oh. You knew there was nothing in that.,happy
I knew nothing of the sort. You took presents from him.,neutral
"Presents? It was only a trivial, little brooch.",happy
You went out of your way to torture me over Peter Burden.,neutral
I did not. You worked that whole thing up in your jealous imagination.,neutral
"Well, what of it?",neutral
What about me?,angry
"I'll have a little, I think.",neutral
"No particular reason. Anyhow, they are very small ones.",neutral
Don't be stupid.,angry
"Really, Amanda.",angry
What?,angry
"you going out somewhere, dear?",neutral
No. I am just making myself fascinating for you.,angry
Oh. It's a woman's duty to allure the man.,angry
"Well as a matter of fact, yes, that's perfectly true.",neutral
No it isn't.,angry
Yes it is.,neutral
You shut up.,angry
"Oh really. It's a pity you didn't have any brandy, it would have made you a little less disagreeable.",angry
"Snap, snap, snap. You know you are like a little adder.",angry
Nonsense. They have a bag of venom behind their fangs and they snap. They snap.,angry
They sting. I don't care. Do you understand? I don't care if they bark and they roll about like hoops.,angry
Did you see much of Peter Burden after our divorce?,angry
"Yes I did, quite a lot.",angry
"And I suppose you let him kiss you a good deal more than, too. Yes. I suppose you guys had a riotous time, huh? All out, no restraint at all. Well, you never really had much anyhow.",angry
Mind your own business.,angry
"You're quite insufferable, I expect it's because you are drunk.",angry
I think I am not in the least bit drunk.,angry
You've always had a weak head.,angry
I think I mentioned once before that I've had three minute liquor glasses the whole evening long. A child of two cannot get drunk on that.,angry
"On the contrary, a child of two can get violently drunk on only one glass of brandy.",angry
"That's very interesting Amanda. How about a child of four? Or a child of six? Or a child of nine? We can get a good little conversation going on about this, you know, intemperate tots.",angry
Oh shut up.,angry
Shut up.,angry
"Not very funny, darling. Why don't you have some more brandy.",angry
"Look, you better turn that off. I don't want to wake up the people upstairs.",angry
Why?,neutral
There are no people upstairs; it's a photographer's studio.,neutral
Well then you'll wake up the people downstairs.,angry
They are away in Tunis.,neutral
This is no time of year for Tunis.,neutral
I will do no such thing.,angry
Fine if you insist on being boorish and idiotic.,angry
"Will you turn that off, it's driving me mad.",angry
"You are far too temperamental, try to control yourself.",angry
Turn it off.,angry
"I won't. Let go, let go of me. Listen, listen? I'm sick and tired of listening to you, you sadistic bully.",angry
"Amanda, listen, listen.",angry
Oh. That's very amusing indeed.,angry
"Oh shut up. Let go. I hate you, I hate you. Do you hear? You are a conceited and overbearing and utterly impossible.",angry
"You are a vile, ill-tempered, loose living, wicked little beast and I never want to see you again as long as I live.",angry
This is the end. Do you hear me? Finally and forever.,angry
You're not going like this.,angry
Oh. Yes I am.,angry
You're not.,angry
"Yes I am. Stop it. Stop it. Let go of me. Oh. You're a cruel fiend. I loathe and I hate you. Marry you again? Never, never, never. I hope you die in torment, you brute beast cad.",angry
"Shut up. Shut up. God, I wouldn't marry you again if you came crawling back to me on a bended knee. You are a vile, ill-tempered, mean little wench and I never want to see you again as long as I live.",angry
Next.,angry
My window is open.,angry
"Yes, Jones.",neutral
"No, I need your ID to give you a second ID.",angry
It's really simple if you have a problem with it... Maybe you should--,angry
"No, I don't have a passport.",neutral
What do you expect me to do?,angry
Probably.,angry
Did you even look at the form? I filled it out all these questions--,angry
Don't raise your voice with me.,angry
Don't talk to me like I'm a child.,angry
Do you know how long I've been working here? How long have you lived in California?,angry
"Maybe you never been to the D.M.V. before, maybe you should get back in line. You know what? sit in line again and if you get my number ask for different one.",angry
I am not...I'm not getting to back that line.,angry
Uh huh. I didn't come here get in yelling match either.,neutral
They don't pay me enough to deal people like you.,neutral
Why?,angry
"Why, because I'm sick of talking to you.",angry
"'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.",angry
"Hey, Joy come in here.",neutral
What's happening?,neutral
I have to go back.,sad
I just got a letter I have to go back.,sad
First thing tomorrow morning.,sad
Are you kidding me?,surprise
"The National Guard is I guess really spread thin and then everyone has to go. We all have to go back, my whole companies going back.",sad
"So yeah, we leave tomorrow...",sad
...we're all shipping out.,sad
I just got I feel like I'm in shock actually.,sad
I don't even know what to tell you.,sad
I don't know.,sad
What about the birthday party?,sad
I guess you're just going to have to have it without me.,sad
"Hey listen, it's going to be okay though, all right?",sad
You're going to be fine.,sad
"I'm going to be fine too, okay?",sad
I know I have a good... I have a really good group of guys with me.,sad
We're going to be okay.,sad
You're going with the same ones?,sad
Do promise me you're going to take a lot of pictures.,sad
I know.,sad
It's not the same though.,sad
I just wish there was something I could do.,sad
Run away?,sad
Mm hmm. We'll build a bunker and never come out.,sad
"I really don't want to go, I don't want to go...",sad
Don't say that.,sad
I love you.,sad
[BREATHING],surprise
"Well, she's not a citizen so she wants to get a visa.",neutral
"She's actually from England, I think. Well she- she spoke English but she had an accent. I didn't even ask.",neutral
Yeah. Make her like open the bank account and stuff too.,neutral
I don't know get it in cash.,neutral
Just cash hardcore.,neutral
Yeah.,neutral
And then we can honeymoon. I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.,neutral
"Oh yeah, absolutely, absolutely.",neutral
You seem kind of down.,neutral
What do you mean?,neutral
There's a lot of people looking for jobs.,neutral
"I don't know, I mean, I just don't think...",neutral
Did you ever think it might be your attitude that's...,neutral
"I don't know just sometimes you get kind of... No, I'm not saying that. I just--",neutral
...has anyone ever just said anything like that to you before?,neutral
"Right, sure.",neutral
"But I mean you kind of got to, you got to fake it 'til you feel it, right?",neutral
I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.,neutral
No. I'm just saying though that if I was a person who was hiring somebody I-- --would not hire someone who was angry or upset.,neutral
No.,neutral
What?,angry
"Well, you know a little. If you were to listen to--",neutral
I just don't want you to fly off the handle.,neutral
You kind of have a short fuse.,neutral
Yeah.,neutral
"Okay. Okay no, no, no, no okay no, I need to hear this more. Come on, bring it.",angry
"Like this, right now we're trying have a conversation.",neutral
We're trying to have a conversation and you seem extremely hostile. You keep cutting me off.,neutral
I can't finish the sentence with you without you jumping in...,neutral
...and you're always right.,neutral
You have an excuse for everything.,neutral
I'm just saying that maybe you should take in some information before you produce more of your own.,neutral
I'm like a sponge I'm like soaked up with all this information for like three years I'm just dying for a job to like put it in to.,angry
[BREATHING],neutral
"Well, what kind of field are you looking to go into?",neutral
That's it.,neutral
Can I help you?,neutral
I need a little more information.,neutral
What- What flight did you come in on?,neutral
Georgia?,neutral
"There's no need for you to raise your voice, sir.",neutral
I've been college educated.,neutral
I speak your language.,neutral
Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?,angry
"Listen, shut your smug mouth, okay? I don't need that.",angry
I'm just saying you don't need to talk to me like I-,neutral
I've been sitting here for four hours.,angry
You people have just been tossing me around like a used hanky.,angry
You work here.,angry
"Details, Details. Well, anyhow can I--",neutral
so you flew in from Atlanta...,neutral
Four...Four hours ago.,neutral
Do you have any i-?,neutral
I wouldn't let you? I was not in Atlanta. I was not in Atlanta.,neutral
I had nothing to do with the boarding attendance. I'm sorry that your seat was wherever it was.,neutral
"I have some unfortunate news, uh, that your bag isn't going to be--",neutral
--arriving any time soon.,neutral
I'm really sorry to tell you this but...,neutral
Okay.,neutral
It's not. I can offer you fifty dollars and a reimbursement gift cards for our airline...,neutral
...and your future...,neutral
No.,neutral
Yes.,neutral
We've actually...,neutral
They do as matter of fact. We don't like to publicize it because,neutral
people wouldn't Fly our airline.,neutral
Probably people that work for your company huh?,angry
Do you know what was in that little bag that I could have just easily put in overhead compartment but no I had to check?,angry
What was that?,neutral
My computer which has all of my data which I'm collecting right now.,angry
That's unfortunate.,neutral
Yeah it's really unfortunate you know why because I'm going to get fired if I don't get that. So I need to have that back.,angry
That's too bad.,neutral
"Fifty dollars is not going to cover me for my job, okay?",angry
I wish I could give it to you.,neutral
Well you need to find it. Can I just go back there and look through the bags? Can I just go back there and just go through maybe I'll find it.,angry
I wish I-,neutral
That's not - no.,neutral
No.,neutral
It'll be a lot more than what you're doing sitting here and just give me lip service. I'd like to go back at least do some aggressive searching for my stuff.,angry
We have plenty of aggressive searching going on it's not there. Someone's taken it.,neutral
